Product ID;Active (0/1);Name *;Categories (x,y,z...);Price tax excluded;Tax rules ID;Wholesale price;On sale (0/1);Discount amount;Discount percent;Discount from (yyyy-mm-dd);Discount to (yyyy-mm-dd);Reference #;Supplier reference #;Supplier;Manufacturer;EAN13;UPC;Ecotax;Width;Height;Depth;Weight;Delivery time of in-stock products;Delivery time of out-of-stock products with allowed orders;Quantity;Minimal quantity;Low stock level;Receive a low stock alert by email;Visibility;Additional shipping cost;Unity;Unit price;Summary;Description;Tags (x,y,z...);Meta title;Meta keywords;Meta description;URL rewritten;Text when in stock;Text when backorder allowed;Available for order (0 = No, 1 = Yes);Product available date;Product creation date;Show price (0 = No, 1 = Yes);Image URLs (x,y,z...);Image alt texts (x,y,z...);Delete existing images (0 = No, 1 = Yes);Feature(Name:Value:Position);Available online only (0 = No, 1 = Yes);Condition;Customizable (0 = No, 1 = Yes);Uploadable files (0 = No, 1 = Yes);Text fields (0 = No, 1 = Yes);Out of stock action;Virtual product;File URL;Number of allowed downloads;Expiration date;Number of days;ID / Name of shop;Advanced stock management;Depends On Stock;Warehouse;Acessories  (x,y,z...)
;;M-4002  Турникет прозрачный 30см;Трубы и штангодержатели;294;;;;;;;;;;;Турция;;;;;;;;;;;;;;;;;;;"<br><br><img width=""800"" alt=""M-4002.jpg"" src=""/upload/medialibrary/a03/a03a2374f92970cae461c470770546c5.jpg"" height=""416"" title=""M-4002.jpg""><br>";;;;;;;;;;;;https://artmebel.kz/upload/iblock/80e/fwemm7uar3f0z244gp8i3j3uo7t7j8dc/bb2783b4-afac-11e6-3396-001517eeea50_12889042-e3a3-11e6-0d9b-001517eeea50.jpeg;;;;;;;;;;;;;;;;;;;
;;01А.02.073 Соединение для труб 25мм*25мм;Трубы и штангодержатели;597;;;;;;;;;;;КНР;;;;;;;;;;;;;;;;;;;<p>01А.02.073 Соединение для труб 25мм*25мм</p>;;;;;;;;;;;;https://artmebel.kz/upload/iblock/9b7/67cu6yynco0teqcg0wbk5boikl2x025z/429d2f85-ba9d-11e5-aa9d-001517eeea50_56c18248-d538-11e5-5183-001517eeea50.jpeg;;;;;;;;;;;;;;;;;;;
;;V204 Штангодержатель D25;Трубы и штангодержатели;28;;;;;;;;;;;КНР;;;;;;;;;;;;;;;;;;;<p>V204 Штангодержатель D25</p>;;;;;;;;;;;;https://artmebel.kz/upload/iblock/be7/k32v1cx5lpru2q2inz9n9frzodb4pv2b.jpeg;;;;;;;;;;;;;;;;;;;
;;01А.02.069 Крепление сквозное овальное никель;Трубы и штангодержатели;205;;;;;;;;;;;КНР;;;;;;;;;;;;;;;;;;;"<br><br><img width=""400"" alt=""MIL412109.jpg"" src=""/upload/medialibrary/189/18905fc06c7ea8c62e63e85f08a3cda1.jpg"" height=""378"" title=""MIL412109.jpg""><br>";;;;;;;;;;;;https://artmebel.kz/upload/iblock/9ba/1828neydl0whltycym9lok4laivr1g0r.jpeg;;;;;;;;;;;;;;;;;;;
;;M-4001 Труба D25 30см прозрачная;Трубы и штангодержатели;294;;;;;;;;;;;Турция;;;;;;;;;;;;;;;;;;;"<br><br><img width=""800"" alt=""M-4001.jpg"" src=""/upload/medialibrary/93a/93a3b495eef910b4fb9a82b0e0c6d876.jpg"" height=""416"" title=""M-4001.jpg""><br>";;;;;;;;;;;;https://artmebel.kz/upload/iblock/606/hcajinedyo6vi3fjinti1tm48n3svygr/bb2783aa-afac-11e6-3396-001517eeea50_1288902e-e3a3-11e6-0d9b-001517eeea50.jpeg;;;;;;;;;;;;;;;;;;;
;; 01.01.002  Турникет 30*15*0.5*3000mm В класс;Трубы и штангодержатели;1300;;;;;;;;;;;КНР;;;;;;;;;;;;;;;;;;;"<br><br><img width=""227"" alt=""01.01.002.jpg"" src=""/upload/medialibrary/829/82988569103641a8eb12adcf496f66fd.jpg"" height=""137"" title=""01.01.002.jpg""><br>";;;;;;;;;;;;https://artmebel.kz/upload/iblock/d33/arfxmxa0oadvzttklb8160mtb98rq386.jpeg;;;;;;;;;;;;;;;;;;;
;;24905.001 Крепление для трубы D16;Трубы и штангодержатели;394;;;;;;;;;;;КНР;;;;;;;;;;;;;;;;;;;"<br><br><img width=""400"" alt=""24905.jpg"" src=""/upload/medialibrary/9bd/9bd6737e67b92fa960aa2f9301a3a4ca.jpg"" height=""613"" title=""24905.jpg""><br>";;;;;;;;;;;;https://artmebel.kz/upload/iblock/840/6dj9531sblgjoh6ix6ri9qyjz36oli1p.jpeg;;;;;;;;;;;;;;;;;;;
;;Штанга D25  Хром  0.6*800 mm;Трубы и штангодержатели;543;;;;;;;;;;;КНР;;;;;;;;;;;;;;;;;;;"<br><br><img width=""214"" alt=""01,01,001 25.jpg"" src=""/upload/medialibrary/524/524a368097839664fb938600e2c8bd30.jpg"" height=""144"" title=""01,01,001 25.jpg""><br>";;;;;;;;;;;;https://artmebel.kz/upload/iblock/0df/uor9q8y0fkyeujgzot3nbkw3mefvm5a9.jpeg;;;;;;;;;;;;;;;;;;;
;;01.01.001 Штанга D50*0,9*3000mm В класс;Трубы и штангодержатели;5930;;;;;;;;;;;КНР;;;;;;;;;;;;;;;;;;;"<br><br><img width=""214"" alt=""01,01,001 50.jpg"" src=""/upload/medialibrary/543/543822165a3b7bc70b1afe41b7c35884.jpg"" height=""144"" title=""01,01,001 50.jpg""><br>";;;;;;;;;;;;https://artmebel.kz/upload/iblock/a1d/antc7ngrm5tvmhg5t423p4mnvxif4dwb.jpeg;;;;;;;;;;;;;;;;;;;
;;60179,025 Крепление для трубы D25 Г-образное;Трубы и штангодержатели;408;;;;;;;;;;;КНР;;;;;;;;;;;;;;;;;;;<p>60179,025 Крепление для трубы D25 Г-образное</p>;;;;;;;;;;;;https://artmebel.kz/upload/iblock/4a1/jienvz5p6ot418bja9gvd4uwre9ga5nx.jpeg;;;;;;;;;;;;;;;;;;;
